pseudo,lp,wr,kp,gm,vm,champ1,champ2,champ3
Agurin,"1,911LP",58.7%,60.8%,433.0,1.4,Elise,Jarvan IV,Wukong
Noah7,"1,829LP",61.0%,59.9%,507.0,1.0,Zeri,Lucian,Ezreal
BDS xMatty,"1,511LP",58.0%,52.5%,493.0,0.8,Zeri,Varus,Kai'Sa
DzuUwU,"1,465LP",60.2%,49.4%,444.0,0.8,Syndra,Tryndamere,Kassadin
EL RONRONS,"1,432LP",62.3%,37.1%,468.0,0.8,Gangplank,Fiora,Jayce
Thumbs Down,"1,375LP",57.2%,58.1%,324.0,2.8,Pyke,Ashe,Karma
BUFF KEQING,"1,306LP",56.7%,52.0%,455.0,1.0,Talon,Kha'Zix,Annie
Percy Magic,"1,359LP",55.2%,47.1%,469.0,1.0,Syndra,Sylas,Jayce
4321455213123,"1,359LP",62.6%,62.3%,326.0,2.2,Lux,Nautilus,Rakan
Wesley Warren Jr,"1,321LP",57.6%,46.1%,447.0,0.8,Aurelion Sol,Syndra,Akali
BiÎÎy Butcher,"1,332LP",60.1%,57.7%,507.0,0.9,Varus,Kalista,Draven
Multirole Talent,"1,298LP",59.2%,51.6%,454.0,1.0,Udyr,Elise,Graves
soz,"1,288LP",59.0%,38.6%,441.0,0.7,Jayce,K'Sante,Jax
zyb,"1,342LP",58.9%,48.8%,496.0,1.0,Jayce,Graves,Kindred
invicta23,"1,274LP",55.4%,39.5%,418.0,0.6,Irelia,Karma,Jayce
BJK Top,"1,271LP",61.5%,41.6%,434.0,1.1,Jax,Jayce,Fiora
school phobia,"1,266LP",58.4%,61.6%,316.0,2.5,Ashe,Karma,Seraphine
Targamas,"1,264LP",56.6%,58.5%,339.0,2.4,Senna,Ashe,Pyke
GO Ragner,"1,244LP",54.4%,43.8%,444.0,1.0,Jax,Gangplank,Jayce
hoch empor,"1,239LP",56.1%,47.2%,439.0,0.9,Sylas,Akali,Orianna
supaaaaaaaaaaaaa,"1,260LP",57.4%,53.1%,479.0,0.9,Ezreal,Zeri,Caitlyn
Notiko,"1,220LP",58.5%,50.4%,449.0,0.9,Ezreal,Varus,Xayah
TakeSet sama,"1,215LP",55.6%,54.2%,496.0,1.1,Caitlyn,Jhin,Zeri
VELJA THE MENACE,"1,214LP",56.7%,51.1%,452.0,1.2,Nidalee,Kindred,Graves
Zwei und die,"1,202LP",56.0%,55.9%,430.0,1.4,Vi,Xin Zhao,Gragas
Lathyrus,"1,202LP",61.7%,63.5%,320.0,1.9,Bard,Karma,Maokai
Momo3,"1,188LP",54.2%,59.5%,331.0,2.0,Karma,Pyke,Nautilus
Kobbe,"1,158LP",58.0%,53.2%,461.0,0.8,Varus,Caitlyn,Zeri
AHaHaCiK,"1,152LP",55.9%,57.9%,433.0,1.3,Viego,Graves,Lee Sin
PiMP DADDY1233,"1,150LP",53.5%,48.2%,442.0,0.8,Qiyana,Kassadin,Sylas
M1dLaoBan,"1,145LP",54.9%,48.3%,436.0,0.6,Irelia,Tristana,Jayce
Upset03,"1,143LP",53.0%,52.7%,485.0,1.1,Zeri,Caitlyn,Lucian
Billy Butcher,"1,138LP",56.1%,57.3%,335.0,2.8,Pyke,Rakan,Thresh
Sebekx,"1,131LP",56.3%,50.4%,431.0,1.1,Syndra,Tristana,Karma
I Love Uber Eats,"1,129LP",54.4%,55.5%,400.0,1.0,Vi,Maokai,Wukong
