pseudo,lp,wr,kp,gm,vm,champ1,champ2,champ3
Agurin,"1,911LP",58.7%,60.8%,433,1.4,Elise,Jarvan IV,Wukong
Noah7,"1,795LP",60.8%,59.9%,507,1.0,Zeri,Lucian,Ezreal
BDS xMatty,"1,511LP",58.0%,52.5%,493,0.8,Zeri,Varus,Kai'Sa
DzuUwU,"1,434LP",59.9%,49.3%,443,0.8,Syndra,Tryndamere,Kassadin
EL RONRONS,"1,432LP",62.3%,37.1%,468,0.8,Gangplank,Fiora,Jayce
Thumbs Down,"1,375LP",57.2%,58.1%,324,2.8,Pyke,Ashe,Karma
Percy Magic,"1,359LP",55.2%,47.1%,469,1.0,Syndra,Sylas,Jayce
4321455213123,"1,359LP",62.6%,62.3%,326,2.2,Lux,Nautilus,Rakan
zyb,"1,428LP",59.4%,49.1%,497,1.0,Jayce,Graves,Kindred
BiÎÎy Butcher,"1,332LP",60.1%,57.7%,507,0.9,Varus,Kalista,Draven
